Name,For Timeseries,For Scatter,Renamed (unit),Info;;
ID,No,No,,;;
Date,No,No,,;;
Time,No,No,,;;
DateTime,On x-axis by default,No,Datetime,;;
Lat (DecDeg),No,No,,;;
Lon (DecDeg),No,No,,;;
Temperature (°C),Yes,Yes,Water temperature (°C),Measured in situ with a hand-held conductivity meter (WTW COND 340I);;
Conductivity in situ (µS/cm),No,No,,;;
Conductivity lab (µS/cm),Yes,Yes,Electrical conductivity (µS/cm),Measured in lab on sample with a conductivity meter (WTW Multilab 540);;
"d18O (o/oo) vs. SMOW,Yes,Yes,δ18O (‰ vs. SMOW),""Water samples for δ18O were collected untreated in 10 mL HDPE vials, sealed tightly, stored in the dark at 4°C. Measurements were conducted at the laboratory facility for stable isotopes at AWI Potsdam using a Finnigan MAT Delta-S mass spectrometer equipped with equilibration units for the online determination of hydrogen and oxygen isotopic composition.""";;
"dD (o/oo) vs. SMOW,Yes,Yes,δD (‰ vs. SMOW),""Water samples for δD were collected untreated in 10 mL HDPE vials, sealed tightly, stored in the dark at 4°C. Measurements were conducted at the laboratory facility for stable isotopes at AWI Potsdam using a Finnigan MAT Delta-S mass spectrometer equipped with equilibration units for the online determination of hydrogen and oxygen isotopic composition.""";;
"d-excess,Yes,Yes,d-excess (unitless),""Water samples for d-excess were collected untreated in 10 mL HDPE vials, sealed tightly, stored in the dark at 4°C. Measurements were conducted at the laboratory facility for stable isotopes at AWI Potsdam using a Finnigan MAT Delta-S mass spectrometer equipped with equilibration units for the online determination of hydrogen and oxygen isotopic composition.""";;
"DOC (mg/L),Yes,Yes,Dissolved organic carbon (mg/L),""DOC samples were filled into a pre-rinsed 20 mL glass vial and acidified with 25 mL HCl Suprapur (10 M) and stored in the dark at 4degC. After transport, DOC samples were analyzed at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI), Potsdam, Germany. DOC concentrations were analyzed using high temperature catalytic oxidation (TOC-VCPH, Shimadzu).""";;
d14C (Age),No,No,,;;
"Si uM/l (OSL),Yes,Yes,Silicate (µM/L),""Samples for Si were transported frozen (-24°C) from sampling site until analysis on automated continuous flow system (San+, SKALAR, Netherlands) with standard colorimetric techniques (Aminot et al. 2009).""";;
QF_Si,No,No,,;;
