Name;For Timeseries;For Scatter;Renamed (unit);Info
ID;No;No;;Running number for samples
Date;On x-axis by default;No;Datetime;Local date
Time (local);No;No;;Local time
Lat (DecDeg);No;No;;Measured with CastAway CTD.
Lon (DecDeg);No;No;;Measured with CastAway CTD.
Temperature (°C);Yes;Yes;Water temperature (°C);Measured in situ with a CastAway CTD.
EC (µS/cm);Yes;Yes;Electrical Conductivity (µS/cm);Measured in situ with a CastAway CTD.
Discharge (m³/s);No;No;Discharge at East Channel (m³/s);Measured with the SonTek RiverSurveyor.
comments on sampling location;No;No;;
comments on sampling situation;No;No;;
sampled by;No;No;;
GF-F_FilterID;No;No;;
initialFilter-weight_g;No;No;;
FilteredVolume_ml;No;No;;
comment on filtering process;No;No;;
SPM (mg/L);Yes;Yes;SPM concentration (mg/L);The samples for SPM concentration were filtered through a preweighted GF/F-Filter (0.7  µm) and stored at the freezer (-21°C). After transport the filter were thawed and dried in the drying oven and reweighted at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI) Potsdam Germany. The concentrations were calculated using the weight difference of the filter (before and after filtering) and the sample volume used for filtering.
aCDOM(254) (1/m);Yes;Yes;CDOM absorption at 254nm (m-1);The CDOM samples were filtered through a 0.45 µm cellulose acetate (CA) filter and immediately stored at the fridge (6 °C). After transport CDOM concentrations were measured with UV/VIS spectrophotometer Lambda 950 (Perkin Elmer) using 5 cm cuvettes at German Research Centre for Geoscience (GFZ) Potsdam Germany.
DOC (mg/L);Yes;Yes;Dissolved organic carbon concentration (mg/L);The DOC samples were filtered through a 0.45 µm cellulose acetate (CA) filter and acidified with 25 µL HCl Suprapur. They were immediately stored at the fridge (6 °C). After transport DOC concentrations were analyzed using high temperature catalytic oxidation (TOC-L Shimadzu) at the Alfred Wegener Institute Potsdam Helmholtz Center for Polar and Marine Research (AWI) Germany.
TDN (mg/L);Yes;Yes;Total dissolved nitrogen (mg/l);The samples for TDN were filtered through a 0.45 µm cellulose acetate filter and stored at the freezer (-21°C). After transport TDN concentrations were analized by thermocatalytic oxidation (chemiluminescence detection Shimadzu TOC-L) at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI) Potsdam Germany.
Al (Âµg/L);Yes;Yes;Aluminium (Âµg/L);The samples for Al were stored at the freezer (-21°C). After transport the samples were filtered through a 0.45 µm cellulose acetate filter and Al concentrations were measured with inductively coupled plasma optical emission spectroscopy (ICP-OES) using a Perkin-Elmer Optima 8300DV at the Alfred Wegener Institute Helmholtz Center for Polar and Marine Research (AWI) Potsdam Germany.
