ID;Date;Time (local);Lat (DecDeg);Lon (DecDeg);Temperature (°C);EC (µS/cm);Discharge (m³/s);comments on sampling location;comments on sampling situation;sampled by;GF-F_FilterID;initialFilter-weight_g;FilteredVolume_ml;comment on filtering process;SPM (mg/L);aCDOM(254) (1/m);DOC (mg/L);TDN (mg/L)
1;2023-05-04;15:00;68.338;-133.7063;0.23;366;;from ice_ 20 m from land_ 108 cm thick ice;frozen river_ clear colourless H2O;Lance Gray;1;0.129;600;;11.17;25.14337;4.32;0.36
TSI;2023-05-05;12:00;67.4543;-133.7178;0.1;358;;from ice_ middle of Mackenzie River at Arctic Red River = location of ArcticGRO sampling;frozen river_ clear colourless H2O;Anne Morgenstern_ Felica Gehde;2;0.1293;1000;before filtering Nalgene filter set rinsed with Milli-Q water of unclear quality;6.70;24.4603;;
blank 1;2023-05-05;;;;;;;;;Felica Gehde;3;0.1273;1000;Milli-Q water of unclear quality;;;;
2;2023-05-05;15:30;68.3380;-133.7063;0.13;371;;from ice_ 20 m from land_ 108 cm thick ice;frozen river_ wood particles from marking twig fell into hole_ removed as good as possible;Anne Morgenstern_ Felica Gehde;4;0.1278;1400;wood particles from marking twig fell into hole_ not clear if sample contains any_ but nothing visible on filter_ before filtering Nalgene filter set rinsed with Milli-Q water of unclear quality;2.29;24.49701;4.33;0.32
3;2023-05-08;11:00;68.3380;-133.7063;0.11;371;;from ice_ same hole as for sample number 002;frozen river_ very wet snow and standing meltwater on the ice_ 3 CTD casts_ use last one only!;Anne Morgenstern_ Felica Gehde;5;0.1295;1000;before filtering Nalgene filter set rinsed with Milli-Q water of unclear quality;2.30;24.40954;4.43;0.34
4;2023-05-09;10:00;68.3380;-133.7063;0.13;371;;on ice_ 13 cm of meltwater on ice_ ice thickness 96.5 cm;spring melt on ice_ cloudy_ little wind_ little colour to water_ 2 CTD casts - use 2nd one;Lance Gray;6;0.1293;1000;before filtering Nalgene filter set rinsed with Milli-Q water of unclear quality;2.40;24.9373;4.5;0.36
5;2023-05-10;10:00;68.3380;-133.7063;0.16;367;;from ice_ same hole as last days;standing meltwater puddle from shore reaches to ice hole;Anne Morgenstern_ Felica Gehde;7;0.1292;800;before filtering Nalgene filter set rinsed with Milli-Q water of unclear quality;2.50;24.83205;4.35;0.35
6;2023-05-16;09:20;;;0.11;311;;sampling from shore_ 15 m of exposed river on edge_ candle ice in the center_ 2 CTD casts thrown as close to the ice as possible_ CTD touched riverbed and dragged along it in retrieval;spring melt_ 2 days of 20 °C prior to today_ muddy water_ lots of sediment suspended_ wind blowing up river;Lance Gray_ Greg Elias;8;0.1292;200;before filtering Nalgene filter set rinsed with Milli-Q water of unclear quality;60.00;37.55129;5.48;0.32
7;2023-05-23;10:00;68.3383;-133.705;0.75;229;;hand taken with bottle_ sample taken upriver of myself ~15 m into water_ stood still for ~1 min to let water settle;spring breakup of ice one day prior_ beavers swimming by slopping water_ lots of sediment_ still ice chunks and floating logs_ could not reach point of previous sample;Lance Gray;9;0.129;200;Milli Q water used to rinse upper chamber of sediment;197.00;59.12229;7.67;0.37
blank 2;2023-05-23;;;;;;;;;Lance Gray;10;0.1282;1000;blank filter with Milli Q water_ Nalgene cleaned after POC sample taken_ rinsed with Milli Q water of unclear quality;;;;
