river,agency,station_code,station_name,date,discharge,flag,Datetime,Datetime Kusur,Time to add for correction,Datetime Samoylov
Lena,Roshydromet,3821,Kyusyur,1936-01-01,3140,A,12:00:00 nachm.,1936-01-01 12:00:00,60:00:00,1936-01-04 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-02,3140,A,12:00:00 nachm.,1936-01-02 12:00:00,60:00:00,1936-01-05 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-03,3130,A,12:00:00 nachm.,1936-01-03 12:00:00,60:00:00,1936-01-06 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-04,3130,A,12:00:00 nachm.,1936-01-04 12:00:00,60:00:00,1936-01-07 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-05,3120,A,12:00:00 nachm.,1936-01-05 12:00:00,60:00:00,1936-01-08 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-06,3120,A,12:00:00 nachm.,1936-01-06 12:00:00,60:00:00,1936-01-09 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-07,3110,A,12:00:00 nachm.,1936-01-07 12:00:00,60:00:00,1936-01-10 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-08,3100,A,12:00:00 nachm.,1936-01-08 12:00:00,60:00:00,1936-01-11 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-09,3100,A,12:00:00 nachm.,1936-01-09 12:00:00,60:00:00,1936-01-12 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-10,3080,A,12:00:00 nachm.,1936-01-10 12:00:00,60:00:00,1936-01-13 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-11,3060,A,12:00:00 nachm.,1936-01-11 12:00:00,60:00:00,1936-01-14 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-12,3030,A,12:00:00 nachm.,1936-01-12 12:00:00,60:00:00,1936-01-15 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-13,3010,A,12:00:00 nachm.,1936-01-13 12:00:00,60:00:00,1936-01-16 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-14,2990,A,12:00:00 nachm.,1936-01-14 12:00:00,60:00:00,1936-01-17 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-15,2960,A,12:00:00 nachm.,1936-01-15 12:00:00,60:00:00,1936-01-18 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-16,2940,A,12:00:00 nachm.,1936-01-16 12:00:00,60:00:00,1936-01-19 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-17,2910,A,12:00:00 nachm.,1936-01-17 12:00:00,60:00:00,1936-01-20 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-18,2890,A,12:00:00 nachm.,1936-01-18 12:00:00,60:00:00,1936-01-21 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-19,2870,A,12:00:00 nachm.,1936-01-19 12:00:00,60:00:00,1936-01-22 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-20,2040,A,12:00:00 nachm.,1936-01-20 12:00:00,60:00:00,1936-01-23 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-21,2820,A,12:00:00 nachm.,1936-01-21 12:00:00,60:00:00,1936-01-24 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-22,2800,A,12:00:00 nachm.,1936-01-22 12:00:00,60:00:00,1936-01-25 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-23,2770,A,12:00:00 nachm.,1936-01-23 12:00:00,60:00:00,1936-01-26 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-24,2750,A,12:00:00 nachm.,1936-01-24 12:00:00,60:00:00,1936-01-27 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-25,2720,A,12:00:00 nachm.,1936-01-25 12:00:00,60:00:00,1936-01-28 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-26,2680,A,12:00:00 nachm.,1936-01-26 12:00:00,60:00:00,1936-01-29 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-27,2650,A,12:00:00 nachm.,1936-01-27 12:00:00,60:00:00,1936-01-30 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-28,2620,A,12:00:00 nachm.,1936-01-28 12:00:00,60:00:00,1936-01-31 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-29,2590,A,12:00:00 nachm.,1936-01-29 12:00:00,60:00:00,1936-02-01 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-30,2550,A,12:00:00 nachm.,1936-01-30 12:00:00,60:00:00,1936-02-02 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-01-31,2520,A,12:00:00 nachm.,1936-01-31 12:00:00,60:00:00,1936-02-03 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-01,2490,A,12:00:00 nachm.,1936-02-01 12:00:00,60:00:00,1936-02-04 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-02,2460,A,12:00:00 nachm.,1936-02-02 12:00:00,60:00:00,1936-02-05 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-03,2420,A,12:00:00 nachm.,1936-02-03 12:00:00,60:00:00,1936-02-06 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-04,2390,A,12:00:00 nachm.,1936-02-04 12:00:00,60:00:00,1936-02-07 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-05,2360,A,12:00:00 nachm.,1936-02-05 12:00:00,60:00:00,1936-02-08 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-06,2330,A,12:00:00 nachm.,1936-02-06 12:00:00,60:00:00,1936-02-09 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-07,2290,A,12:00:00 nachm.,1936-02-07 12:00:00,60:00:00,1936-02-10 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-08,2260,A,12:00:00 nachm.,1936-02-08 12:00:00,60:00:00,1936-02-11 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-09,2240,A,12:00:00 nachm.,1936-02-09 12:00:00,60:00:00,1936-02-12 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-10,2220,A,12:00:00 nachm.,1936-02-10 12:00:00,60:00:00,1936-02-13 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-11,2200,A,12:00:00 nachm.,1936-02-11 12:00:00,60:00:00,1936-02-14 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-12,2180,A,12:00:00 nachm.,1936-02-12 12:00:00,60:00:00,1936-02-15 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-13,2160,A,12:00:00 nachm.,1936-02-13 12:00:00,60:00:00,1936-02-16 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-14,2140,A,12:00:00 nachm.,1936-02-14 12:00:00,60:00:00,1936-02-17 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-15,2120,A,12:00:00 nachm.,1936-02-15 12:00:00,60:00:00,1936-02-18 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-16,2100,A,12:00:00 nachm.,1936-02-16 12:00:00,60:00:00,1936-02-19 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-17,2080,A,12:00:00 nachm.,1936-02-17 12:00:00,60:00:00,1936-02-20 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-18,2060,A,12:00:00 nachm.,1936-02-18 12:00:00,60:00:00,1936-02-21 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-19,2040,A,12:00:00 nachm.,1936-02-19 12:00:00,60:00:00,1936-02-22 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-20,2020,A,12:00:00 nachm.,1936-02-20 12:00:00,60:00:00,1936-02-23 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-21,2000,A,12:00:00 nachm.,1936-02-21 12:00:00,60:00:00,1936-02-24 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-22,1990,A,12:00:00 nachm.,1936-02-22 12:00:00,60:00:00,1936-02-25 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-23,1970,A,12:00:00 nachm.,1936-02-23 12:00:00,60:00:00,1936-02-26 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-24,1950,A,12:00:00 nachm.,1936-02-24 12:00:00,60:00:00,1936-02-27 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-25,1920,A,12:00:00 nachm.,1936-02-25 12:00:00,60:00:00,1936-02-28 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-26,1900,A,12:00:00 nachm.,1936-02-26 12:00:00,60:00:00,1936-02-29 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-27,1880,A,12:00:00 nachm.,1936-02-27 12:00:00,60:00:00,1936-03-01 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-28,1860,A,12:00:00 nachm.,1936-02-28 12:00:00,60:00:00,1936-03-02 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-02-29,1840,A,12:00:00 nachm.,1936-02-29 12:00:00,60:00:00,1936-03-03 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-01,1810,A,12:00:00 nachm.,1936-03-01 12:00:00,60:00:00,1936-03-04 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-02,1790,A,12:00:00 nachm.,1936-03-02 12:00:00,60:00:00,1936-03-05 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-03,1770,A,12:00:00 nachm.,1936-03-03 12:00:00,60:00:00,1936-03-06 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-04,1740,A,12:00:00 nachm.,1936-03-04 12:00:00,60:00:00,1936-03-07 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-05,1720,A,12:00:00 nachm.,1936-03-05 12:00:00,60:00:00,1936-03-08 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-06,1700,A,12:00:00 nachm.,1936-03-06 12:00:00,60:00:00,1936-03-09 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-07,1680,A,12:00:00 nachm.,1936-03-07 12:00:00,60:00:00,1936-03-10 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-08,1660,A,12:00:00 nachm.,1936-03-08 12:00:00,60:00:00,1936-03-11 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-09,1630,A,12:00:00 nachm.,1936-03-09 12:00:00,60:00:00,1936-03-12 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-10,1610,A,12:00:00 nachm.,1936-03-10 12:00:00,60:00:00,1936-03-13 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-11,1590,A,12:00:00 nachm.,1936-03-11 12:00:00,60:00:00,1936-03-14 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-12,1560,A,12:00:00 nachm.,1936-03-12 12:00:00,60:00:00,1936-03-15 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-13,1540,A,12:00:00 nachm.,1936-03-13 12:00:00,60:00:00,1936-03-16 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-14,1520,A,12:00:00 nachm.,1936-03-14 12:00:00,60:00:00,1936-03-17 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-15,1500,A,12:00:00 nachm.,1936-03-15 12:00:00,60:00:00,1936-03-18 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-16,1480,A,12:00:00 nachm.,1936-03-16 12:00:00,60:00:00,1936-03-19 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-17,1450,A,12:00:00 nachm.,1936-03-17 12:00:00,60:00:00,1936-03-20 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-18,1430,A,12:00:00 nachm.,1936-03-18 12:00:00,60:00:00,1936-03-21 00:00:00
Lena,Roshydromet,3821,Kyusyur,1936-03-19,1420,A,12:00:00 nachm.,1936-03-19 12:00:00,60:00:00,1936-03-22 00:00:00
