river;agency;station_code;station_name;date;discharge;flag;Datetime;Datetime Kusur;Time to add for correction;Datetime Samoylov
Lena;Roshydromet;3821;Kyusyur;29.12.1999;3130;A;12:00:00 PM;29.12.1999 12:00;60:00:00;2000-01-01 00:00:00
Lena;Roshydromet;3821;Kyusyur;30.12.1999;3100;A;12:00:00 PM;30.12.1999 12:00;60:00:00;2000-01-02 00:00:00
Lena;Roshydromet;3821;Kyusyur;31.12.1999;3100;A;12:00:00 PM;31.12.1999 12:00;60:00:00;2000-01-03 00:00:00
Lena;Roshydromet;3821;Kyusyur;01.01.2000;3160;A;12:00:00 PM;01.01.2000 12:00;60:00:00;2000-01-04 00:00:00
Lena;Roshydromet;3821;Kyusyur;02.01.2000;3200;A;12:00:00 PM;02.01.2000 12:00;60:00:00;2000-01-05 00:00:00
Lena;Roshydromet;3821;Kyusyur;03.01.2000;3250;A;12:00:00 PM;03.01.2000 12:00;60:00:00;2000-01-06 00:00:00
Lena;Roshydromet;3821;Kyusyur;04.01.2000;3290;A;12:00:00 PM;04.01.2000 12:00;60:00:00;2000-01-07 00:00:00
Lena;Roshydromet;3821;Kyusyur;05.01.2000;3340;A;12:00:00 PM;05.01.2000 12:00;60:00:00;2000-01-08 00:00:00
Lena;Roshydromet;3821;Kyusyur;06.01.2000;3380;A;12:00:00 PM;06.01.2000 12:00;60:00:00;2000-01-09 00:00:00
Lena;Roshydromet;3821;Kyusyur;07.01.2000;3430;A;12:00:00 PM;07.01.2000 12:00;60:00:00;2000-01-10 00:00:00
Lena;Roshydromet;3821;Kyusyur;08.01.2000;3480;A;12:00:00 PM;08.01.2000 12:00;60:00:00;2000-01-11 00:00:00
Lena;Roshydromet;3821;Kyusyur;09.01.2000;3520;A;12:00:00 PM;09.01.2000 12:00;60:00:00;2000-01-12 00:00:00
Lena;Roshydromet;3821;Kyusyur;10.01.2000;3570;A;12:00:00 PM;10.01.2000 12:00;60:00:00;2000-01-13 00:00:00
Lena;Roshydromet;3821;Kyusyur;11.01.2000;3610;A;12:00:00 PM;11.01.2000 12:00;60:00:00;2000-01-14 00:00:00
Lena;Roshydromet;3821;Kyusyur;12.01.2000;3660;A;12:00:00 PM;12.01.2000 12:00;60:00:00;2000-01-15 00:00:00
Lena;Roshydromet;3821;Kyusyur;13.01.2000;3710;A;12:00:00 PM;13.01.2000 12:00;60:00:00;2000-01-16 00:00:00
Lena;Roshydromet;3821;Kyusyur;14.01.2000;3750;A;12:00:00 PM;14.01.2000 12:00;60:00:00;2000-01-17 00:00:00
