river;agency;station_code;station_name;date;discharge;flag
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-03-21 00:00:00;2290;A
Mackenzie;NA;NA;NA;1972-03-22 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-03-23 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-03-24 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-03-25 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-03-26 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-03-27 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-03-28 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-03-29 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-03-30 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-03-31 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-01 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-02 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-03 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-04 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-05 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-06 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-07 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-08 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-09 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-10 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-11 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-12 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-13 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-14 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-15 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-16 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-17 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-18 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-19 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-20 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-21 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-22 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-23 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-24 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-25 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-26 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-27 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-28 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-29 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-04-30 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-01 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-02 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-03 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-04 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-05 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-06 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-07 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-08 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-09 00:00:00;NA;NA
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-05-10 00:00:00;2970;A
Mackenzie;NA;NA;NA;1972-05-11 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-12 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-13 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-14 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-15 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-16 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-17 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-18 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-19 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-20 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-21 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-22 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-23 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-24 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-25 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-26 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-27 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-28 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-29 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-30 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-05-31 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-01 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-02 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-03 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-04 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-05 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-06 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-07 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-08 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-09 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-10 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-11 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-12 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-13 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-14 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-15 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-16 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-17 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-18 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-19 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-20 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-21 00:00:00;NA;NA
