ID,Date,Time,DateTime,Lat (DecDeg),Lon (DecDeg),Temperature (°C),Conductivity in situ (µS/cm),Conductivity lab (µS/cm),d18O (o/oo) vs. SMOW,dD (o/oo) vs. SMOW,d-excess,DOC (mg/L),d14C (Age),Si uM/l (OSL),QF_Si,PO4 ug P/l (OSL),PO4 µM/L (OSL),QF_PO4,NO2+NO3 ug N/l (OSL),NO2+NO3 µM/L,QF_NO2+NO3,NH4 ug N/l (OSL),NH4 µM/L,QF_NH4,NO2 ug N/l (OSL),QF_NO2,Total TP ug P/l,QF_TotalTP,Dissolved TP ug P/l,QF_DissTP,Total TN ug N/l,QF_TotalTN,Dissolved TN ug N/l,QF_DissTN,aCDOM254,aCDOM350,aCDOM443,aCDOM690to700,Cuvette length,Instrument,S275-295,SUVA,d14C sample,cations and anions on sample,Al µg/L (AWI),QF_Al,Ba µg/L (AWI),QF_Ba,Ca mg/L (AWI),QF_Ca,Fe µg/L (AWI),QF_Fe,K mg/L (AWI),QF_K,Mg mg/L (AWI),QF_Mg,Mn µg/L (AWI),QF_Mn,Na mg/L (AWI),QF_Na,P mg/L (AWI),QF_P,Si mg/L (AWI),QF_Si,Sr µg/L (AWI),QF_Sr,F mg/L (AWI),QF_F,Cl mg/L (AWI),QF_Cl,SO4 mg/L (AWI),QF_SO4,Br mg/L (AWI),QF_Br,NO3 mg/L (AWI),QF_NO3_AWI,PO4 mg/L (AWI),QF_PO4_AWI
1,2018-04-20,21:00:00,2018-04-20 21:00:00,72.368133,126.469,-0.2,444,446,-20.98,-159,8.9,7.11,,75.88,,5.3,,,157,,,22,,,1.54,,34.5,,4.3,,1689,,1302,,50.38816,12.2341,2.95663,0.386248,,OSL,0.015963,3.0773,,unfrozen rest sample,2.7837,100,35,20,34.05,0.1,12,100,1.19,0.2,11.1219,0.1,0.0426,20,38.9633,0.2,-0.02,0.1,3.92,0.1,329.148,20,0.14,0.05,58.27,0.1,35.42,0.5,0.06,0.05,0.96,0.1,n.a.,0.1
2,2018-04-24,20:30:00,2018-04-24 20:30:00,72.367977,126.46355,-0.2,450,445,-21.04,-158.5,9.8,6.54,,64.2,,7.1,,,154.1,,,11.1,,,1.12,,108.1,,5.1,,1159,,751,,49.25345,11.81928,2.65212,0.200869,,OSL,0.016114,3.2701,,unfrozen rest sample,0.7091,100,34,20,34.16,0.1,10,100,1.06,0.2,11.1371,0.1,0.1214,20,38.8812,0.2,-0.02,0.1,3.8987,0.1,334.866,20,0.14,0.05,58.02,0.1,35.19,0.5,0.06,0.05,0.54,0.1,n.a.,0.1
3,2018-04-26,18:00:00,2018-04-26 18:00:00,72.367972,126.46955,-0.2,445,444,-21.05,-159.1,9.3,6.16,,69.46,,3.7,,,157.2,,,10.4,,,0.84,,131.4,,2.7,,985,,1023,,48.53205,11.63416,2.60273,0.180125,,OSL,0.016052,3.421,,unfrozen rest sample,-5.3577,100,34,20,33.69,0.1,10,100,1,0.2,11.088,0.1,-0.0353,20,39.2903,0.2,-0.015,0.1,3.91,0.1,330.119,20,0.14,0.05,58.23,0.1,35.27,0.5,0.06,0.05,0.63,0.1,n.a.,0.1
4,2018-04-30,12:00:00,2018-04-30 12:00:00,72.367972,126.46955,-0.2,445,446,-21,-158.2,9.8,6.2,,69.51,,9.3,,,155.5,,,12,,,0.7,,55.4,,4.3,,1034,,1141,,48.79696,11.75792,2.59547,0.184741,,OSL,0.0162,3.4175,,unfrozen rest sample,-0.0172,100,33,20,33.97,0.1,9,100,1.02,0.2,11.0636,0.1,0.0337,20,39.1555,0.2,-0.02,0.1,3.8686,0.1,330.926,20,0.14,0.05,58.84,0.1,35.34,0.5,0.06,0.05,0.73,0.1,n.a.,0.1
5,2018-05-04,19:00:00,2018-05-04 19:00:00,72.367997,126.49955,-0.2,453,445,-21.08,-158.9,9.7,6.3,,76.7,,3.4,,,157,,,10.8,,,0.7,,35.3,,10.5,,1022,,1042,,49.52296,12.04379,2.88272,0.370737,,OSL,0.016028,3.4133,,unfrozen rest sample,-1.0976,100,33,20,33.73,0.1,6,100,1.06,0.2,10.8768,0.1,-0.0319,20,38.8135,0.2,-0.015,0.1,3.8189,0.1,331.04,20,0.14,0.05,59.13,0.1,35.33,0.5,0.06,0.05,0.71,0.1,n.a.,0.1
6,2018-05-08,14:00:00,2018-05-08 14:00:00,72.367977,126.45955,-0.2,457,448,-20.99,-157,10.9,7.27,,,,6.5,,,154.2,,,28.4,,,0.98,,105.8,,43,,1043,,1363,,48.53723,11.50302,2.66893,0.265279,,OSL,0.016239,2.899,,unfrozen rest sample,-1.0296,100,34,20,33.59,0.1,7,100,1.15,0.2,10.9566,0.1,-0.0253,20,39.8024,0.2,-0.016,0.1,3.7263,0.1,325.033,20,0.14,0.05,60.05,0.1,35.47,0.5,0.06,0.05,1.42,0.1,n.a.,0.1
7,2018-05-12,10:30:00,2018-05-12 10:30:00,72.367977,126.49955,-0.02,462,457,-21.06,-159.4,9,6.49,,74.64,,5,,,157.7,,,18.1,,,0.98,,67.8,,15.1,,1171,,938,,49.09342,11.81813,2.79108,0.400346,,OSL,0.016147,3.2846,,unfrozen rest sample,-0.9789,100,34,20,33.83,0.1,10,100,1.14,0.2,11.1122,0.1,0.0147,20,41.4038,0.2,-0.012,0.1,3.7757,0.1,336.135,20,0.14,0.05,61.91,0.1,36.24,0.5,0.05,0.05,0.86,0.1,n.a.,0.1
8,2018-05-16,10:00:00,2018-05-16 10:00:00,72.367977,126.49955,-0.09,463,460,-21.08,-159.1,9.5,6.4,,61.59,,5.9,,,156.3,,,10.6,,,0.84,,194.9,,5.8,,1468,,808,,48.71119,11.81514,2.6969,0.242755,,OSL,0.016049,3.3049,,unfrozen rest sample,-0.1683,100,33,20,34.04,0.1,7,100,1.06,0.2,11.2003,0.1,-0.0357,20,42.1412,0.2,-0.023,0.1,3.748,0.1,336.459,20,0.14,0.05,63,0.1,36.57,0.5,0.06,0.05,0.45,0.1,n.a.,0.1
9,2018-05-20,10:00:00,2018-05-20 10:00:00,72.367977,126.49955,-0.02,473,470,-21.09,-159.8,9,6.4,,70.49,,9.9,,,157.6,,,16.8,,,1.26,,111.2,,8.2,,1153,,1188,,47.82032,11.582,2.7258,0.404009,,OSL,0.016086,3.2444,,unfrozen rest sample,-1.2106,100,35,20,34.57,0.1,8,100,1.13,0.2,11.2102,0.1,0.0035,20,43.0054,0.2,-0.016,0.1,3.6965,0.1,341.953,20,0.14,0.05,65.5,0.1,37.51,0.5,0.06,0.05,0.66,0.1,n.a.,0.1
10,2018-05-24,12:00:00,2018-05-24 12:00:00,72.367977,126.49955,-0.02,482,468,-21.21,-159.4,10.3,5.9,,63.05,,6.2,,,155.8,,,15.5,,,0.7,,130.6,,8.9,,814,,1041,,44.6736,10.74628,2.45306,0.203297,,OSL,0.016096,3.2878,,unfrozen rest sample,-0.5891,100,34,20,33.64,0.1,7,100,1.07,0.2,11.0135,0.1,-0.0305,20,43.6656,0.2,-0.022,0.1,3.5377,0.1,335.353,20,0.14,0.05,65.88,0.1,37.18,0.5,0.06,0.05,0.51,0.1,n.a.,0.1
