ID,Date,Time (local),Lat (DecDeg),Lon (DecDeg),Temp_degC (degC),Cond_microS/cm (microS/cm),Discharge (m3/s),comments on sampling location,comments on sampling situation,sampled by,GF-F_FilterID,initialFilter-weight_g,FilteredVolume_ml,comment on filtering process,SPM concentration (mg/L),aCDOM(254) (m-1),DOC (mg/L)
TSI,2023-05-05,12:00,67.4543,-133.7178,0.1,358,,from ice- middle of Mackenzie River at Arctic Red River = location of ArcticGRO sampling,frozen river- clear colourless H2O,Anne Morgenstern- Felica Gehde,2,0.1293,1000,before filtering Nalgene filter set rinsed with Milli-Q water of unclear quality,11.17,25.14337,4.324
blank 1,2023-05-05,,,,,,,,,Felica Gehde,3,0.1273,1000,Milli-Q water of unclear quality,6.7,24.4603,
2,2023-05-05,15:30,68.338,-133.7063,0.13,371,,from ice- 20 m from land- 108 cm thick ice,frozen river; wood particles from marking twig fell into hole- removed as good as possible,Anne Morgenstern- Felica Gehde,4,0.1278,1400,wood particles from marking twig fell into hole- not clear if sample contains any- but nothing visible on filter; before filtering Nalgene filter set rinsed with Milli-Q water of unclear quality,-0.3,,4.325
3,2023-05-08,11:00,68.338,-133.7063,0.11,371,,from ice- same hole as for sample number 002,frozen river; very wet snow and standing meltwater on the ice; 3 CTD casts- use last one only!,Anne Morgenstern- Felica Gehde,5,0.1295,1000,before filtering Nalgene filter set rinsed with Milli-Q water of unclear quality,2.29,24.49701,4.43
4,2023-05-09,10:00,68.338,-133.7063,0.13,371,,on ice- 13 cm of meltwater on ice- ice thickness 96.5 cm,spring melt on ice- cloudy- little wind- little colour to water- 2 CTD casts - use 2nd one,Lance Gray,6,0.1293,1000,before filtering Nalgene filter set rinsed with Milli-Q water of unclear quality,2.3,24.40954,4.496
5,2023-05-10,10:00,68.338,-133.7063,0.16,367,,from ice- same hole as last days,standing meltwater puddle from shore reaches to ice hole,Anne Morgenstern- Felica Gehde,7,0.1292,800,before filtering Nalgene filter set rinsed with Milli-Q water of unclear quality,2.4,24.9373,4.345
6,2023-05-16,09:20,,,0.11,311,,sampling from shore; 15 m of exposed river on edge- candle ice in the center; 2 CTD casts thrown as close to the ice as possible- CTD touched riverbed and dragged along it in retrieval,spring melt- 2 days of 20 degC prior to today- muddy water- lots of sediment suspended- wind blowing up river,Lance Gray- Greg Elias,8,0.1292,200,before filtering Nalgene filter set rinsed with Milli-Q water of unclear quality,2.5,24.83205,5.477
7,2023-05-23,10:00,68.3383,-133.705,0.75,229,,hand taken with bottle- sample taken upriver of myself ~15 m into water- stood still for ~1 min to let water settle,spring breakup of ice one day prior- beavers swimming by slopping water- lots of sediment- still ice chunks and floating logs- could not reach point of previous sample,Lance Gray,9,0.129,200,Milli Q water used to rinse upper chamber of sediment,60,37.55129,7.666
blank 2,2023-05-23,,,,,,,,,Lance Gray,10,0.1282,1000,blank filter with Milli Q water- Nalgene cleaned after POC sample taken- rinsed with Milli Q water of unclear quality,197,59.12229,
8,2023-05-26,10:50,,,2.71,211,,waded into water ~15 m for sample by hand; no ice on near side of river- a little ice floating down river,spring high water- little wind- calm water flowing; lots of sediment suspended- some floating debris (branches- ???- etc.)- muskrats swimming nearby,Lance Gray,11,0.129,200,Nalgene rinsed with Milli Q water of unclear quality,0.4,,11.59
